Model Name,Model Type,Model Version,Date,Daily Volume,Performance Metrics,Company Name
Model 23,Regression,"[2,3]",12/19/2023,"[3687, 3570]","[4.73, 1.43]",State Farm
Model 23,Regression,"[2,3]",12/20/2023,"[1461, 4062]","[3.17, 0.59]",State Farm
Model 23,Regression,"[2,3]",12/21/2023,"[4433, 4711]","[4.31, 4.22]",State Farm
Model 23,Regression,"[2,3]",12/22/2023,"[2249, 2583]","[0.66, 4.41]",State Farm
Model 23,Regression,"[2,3]",12/23/2023,"[2310, 2623]","[1.37, 2.0]",State Farm
Model 23,Regression,"[2,3]",12/24/2023,"[1837, 2393]","[1.71, 4.59]",State Farm
Model 23,Regression,"[2,3]",12/25/2023,"[3923, 3336]","[2.19, 2.18]",State Farm
Model 23,Regression,"[2,3]",12/26/2023,"[1838, 3083]","[2.29, 4.84]",State Farm
Model 23,Regression,"[2,3]",12/27/2023,"[3933, 4985]","[1.08, 3.66]",State Farm
Model 23,Regression,"[2,3]",12/28/2023,"[2312, 3962]","[2.0, 4.28]",State Farm
Model 23,Regression,"[2,3]",12/29/2023,"[1105, 1132]","[0.31, 3.1]",State Farm
Model 23,Regression,"[2,3]",12/30/2023,"[3486, 4829]","[4.85, 4.22]",State Farm
Model 23,Regression,"[2,3]",12/31/2023,"[3431, 4849]","[2.31, 2.0]",State Farm
Model 23,Regression,"[2,3]",1/1/2024,"[1827, 2228]","[2.65, 3.02]",State Farm
Model 23,Regression,"[2,3]",1/2/2024,"[1529, 3359]","[3.02, 0.48]",State Farm
Model 23,Regression,"[2,3]",1/3/2024,"[2207, 2229]","[0.86, 3.06]",State Farm
Model 23,Regression,"[2,3]",1/4/2024,"[3612, 1226]","[0.64, 2.57]",State Farm
Model 23,Regression,"[2,3]",1/5/2024,"[4596, 3334]","[0.59, 4.78]",State Farm
Model 23,Regression,"[2,3]",1/6/2024,"[3813, 2766]","[4.15, 1.88]",State Farm
Model 23,Regression,"[2,3]",1/7/2024,"[3847, 2176]","[4.76, 1.95]",State Farm
Model 23,Regression,"[2,3]",1/8/2024,"[2404, 2613]","[3.55, 3.8]",State Farm
Model 23,Regression,"[2,3]",1/9/2024,"[2786, 2279]","[1.75, 3.79]",State Farm
Model 23,Regression,"[2,3]",1/10/2024,"[3642, 2530]","[3.11, 0.7]",State Farm
Model 23,Regression,"[2,3]",1/11/2024,"[1201, 1929]","[4.14, 2.66]",State Farm
Model 23,Regression,"[2,3]",1/12/2024,"[2329, 4633]","[2.89, 3.22]",State Farm
Model 23,Regression,"[2,3]",1/13/2024,"[1133, 4568]","[3.75, 4.96]",State Farm
Model 23,Regression,"[2,3]",1/14/2024,"[1779, 4040]","[2.67, 3.56]",State Farm
Model 23,Regression,"[2,3]",1/15/2024,"[3740, 3149]","[1.67, 2.24]",State Farm
Model 24,Multi-Class,[3],4/12/2022,[1617],"[[0.81, 0.73, 0.9]]",Nationwide
Model 24,Multi-Class,[3],4/13/2022,[2658],"[[0.82, 0.77, 0.92]]",Nationwide
Model 24,Multi-Class,[3],4/14/2022,[3907],"[[0.81, 0.86, 0.76]]",Nationwide
Model 24,Multi-Class,[3],4/15/2022,[4262],"[[0.87, 0.79, 0.88]]",Nationwide
Model 24,Multi-Class,[3],4/16/2022,[2461],"[[0.9, 0.81, 0.71]]",Nationwide
Model 24,Multi-Class,[3],4/17/2022,[1049],"[[0.87, 0.75, 0.77]]",Nationwide
Model 24,Multi-Class,[3],4/18/2022,[2082],"[[0.79, 0.88, 0.91]]",Nationwide
Model 24,Multi-Class,[3],4/19/2022,[4298],"[[0.93, 0.89, 0.79]]",Nationwide
Model 24,Multi-Class,[3],4/20/2022,[1200],"[[0.81, 0.88, 0.84]]",Nationwide
Model 24,Multi-Class,[3],4/21/2022,[4280],"[[0.78, 0.74, 0.9]]",Nationwide
Model 24,Multi-Class,[3],4/22/2022,[3679],"[[0.81, 0.83, 0.8]]",Nationwide
Model 24,Multi-Class,[3],4/23/2022,[2044],"[[0.79, 0.77, 0.88]]",Nationwide
Model 24,Multi-Class,[3],4/24/2022,[3338],"[[0.73, 0.91, 0.84]]",Nationwide
Model 24,Multi-Class,[3],4/25/2022,[2482],"[[0.9, 0.86, 0.87]]",Nationwide
Model 24,Multi-Class,[3],4/26/2022,[1293],"[[0.91, 0.78, 0.82]]",Nationwide
Model 24,Multi-Class,[3],4/27/2022,[4662],"[[0.84, 0.75, 0.94]]",Nationwide
Model 24,Multi-Class,[3],4/28/2022,[4734],"[[0.78, 0.82, 0.74]]",Nationwide
Model 24,Multi-Class,[3],4/29/2022,[1784],"[[0.81, 0.85, 0.86]]",Nationwide
Model 24,Multi-Class,[3],4/30/2022,[3641],"[[0.82, 0.79, 0.92]]",Nationwide
Model 24,Multi-Class,[3],5/1/2022,[4523],"[[0.75, 0.73, 0.83]]",Nationwide
Model 24,Multi-Class,[3],5/2/2022,[1465],"[[0.94, 0.77, 0.84]]",Nationwide
Model 24,Multi-Class,[3],5/3/2022,[1695],"[[0.82, 0.77, 0.75]]",Nationwide
Model 24,Multi-Class,[3],5/4/2022,[3116],"[[0.94, 0.85, 0.83]]",Nationwide
Model 24,Multi-Class,[3],5/5/2022,[1424],"[[0.73, 0.73, 0.81]]",Nationwide
Model 24,Multi-Class,[3],5/6/2022,[2586],"[[0.88, 0.72, 0.71]]",Nationwide
Model 24,Multi-Class,[3],5/7/2022,[1481],"[[0.87, 0.85, 0.91]]",Nationwide
Model 24,Multi-Class,[3],5/8/2022,[1136],"[[0.84, 0.83, 0.91]]",Nationwide
Model 24,Multi-Class,[3],5/9/2022,[3475],"[[0.89, 0.8, 0.83]]",Nationwide
Model 24,Multi-Class,[3],5/10/2022,[1353],"[[0.85, 0.78, 0.87]]",Nationwide
Model 24,Multi-Class,[3],5/11/2022,[1309],"[[0.89, 0.75, 0.71]]",Nationwide
Model 24,Multi-Class,[3],5/12/2022,[4159],"[[0.88, 0.71, 0.92]]",Nationwide
Model 24,Multi-Class,[3],5/13/2022,[3678],"[[0.94, 0.92, 0.77]]",Nationwide
Model 24,Multi-Class,[3],5/14/2022,[3799],"[[0.9, 0.86, 0.81]]",Nationwide
Model 24,Multi-Class,[3],5/15/2022,[3962],"[[0.92, 0.93, 0.95]]",Nationwide
Model 24,Multi-Class,[3],5/16/2022,[2952],"[[0.87, 0.9, 0.71]]",Nationwide
Model 24,Multi-Class,[3],5/17/2022,[4787],"[[0.88, 0.75, 0.83]]",Nationwide
Model 24,Multi-Class,[3],5/18/2022,[3768],"[[0.79, 0.94, 0.84]]",Nationwide
Model 24,Multi-Class,[3],5/19/2022,[1060],"[[0.89, 0.76, 0.73]]",Nationwide
Model 24,Multi-Class,[3],5/20/2022,[4620],"[[0.75, 0.76, 0.79]]",Nationwide
Model 24,Multi-Class,[3],5/21/2022,[4301],"[[0.76, 0.75, 0.92]]",Nationwide
Model 24,Multi-Class,[3],5/22/2022,[2721],"[[0.93, 0.71, 0.81]]",Nationwide
Model 24,Multi-Class,[3],5/23/2022,[3510],"[[0.81, 0.92, 0.76]]",Nationwide
Model 24,Multi-Class,[3],5/24/2022,[1548],"[[0.82, 0.71, 0.82]]",Nationwide
Model 24,Multi-Class,[3],5/25/2022,[2220],"[[0.73, 0.89, 0.83]]",Nationwide
Model 24,Multi-Class,[3],5/26/2022,[4437],"[[0.8, 0.87, 0.92]]",Nationwide
Model 24,Multi-Class,[3],5/27/2022,[1587],"[[0.84, 0.86, 0.95]]",Nationwide
Model 24,Multi-Class,[3],5/28/2022,[1863],"[[0.94, 0.82, 0.83]]",Nationwide
Model 24,Multi-Class,[3],5/29/2022,[1277],"[[0.92, 0.83, 0.81]]",Nationwide
Model 24,Multi-Class,[3],5/30/2022,[4823],"[[0.78, 0.9, 0.79]]",Nationwide
Model 24,Multi-Class,[3],5/31/2022,[4333],"[[0.71, 0.76, 0.75]]",Nationwide
Model 24,Multi-Class,[3],6/1/2022,[2268],"[[0.77, 0.71, 0.76]]",Nationwide
Model 24,Multi-Class,[3],6/2/2022,[1265],"[[0.87, 0.95, 0.73]]",Nationwide
Model 24,Multi-Class,[3],6/3/2022,[3140],"[[0.78, 0.82, 0.78]]",Nationwide
Model 24,Multi-Class,[3],6/4/2022,[3109],"[[0.84, 0.8, 0.91]]",Nationwide
Model 24,Multi-Class,[3],6/5/2022,[4971],"[[0.82, 0.94, 0.88]]",Nationwide
Model 24,Multi-Class,[3],6/6/2022,[2595],"[[0.76, 0.86, 0.85]]",Nationwide
Model 24,Multi-Class,[3],6/7/2022,[1362],"[[0.78, 0.7, 0.84]]",Nationwide
Model 24,Multi-Class,[3],6/8/2022,[1253],"[[0.87, 0.76, 0.76]]",Nationwide
Model 24,Multi-Class,[3],6/9/2022,[3601],"[[0.88, 0.71, 0.88]]",Nationwide
Model 24,Multi-Class,[3],6/10/2022,[4500],"[[0.91, 0.75, 0.9]]",Nationwide
Model 24,Multi-Class,[3],6/11/2022,[4265],"[[0.75, 0.92, 0.73]]",Nationwide
Model 24,Multi-Class,[3],6/12/2022,[3761],"[[0.78, 0.73, 0.88]]",Nationwide
Model 24,Multi-Class,[3],6/13/2022,[4960],"[[0.8, 0.74, 0.93]]",Nationwide
Model 24,Multi-Class,[3],6/14/2022,[2881],"[[0.88, 0.86, 0.89]]",Nationwide
Model 24,Multi-Class,[3],6/15/2022,[3792],"[[0.82, 0.77, 0.89]]",Nationwide
Model 24,Multi-Class,[3],6/16/2022,[2823],"[[0.81, 0.8, 0.81]]",Nationwide
Model 24,Multi-Class,[3],6/17/2022,[3503],"[[0.87, 0.93, 0.71]]",Nationwide
Model 24,Multi-Class,[3],6/18/2022,[2194],"[[0.9, 0.85, 0.92]]",Nationwide
Model 24,Multi-Class,[3],6/19/2022,[1813],"[[0.76, 0.81, 0.93]]",Nationwide
Model 24,Multi-Class,[3],6/20/2022,[1684],"[[0.76, 0.74, 0.75]]",Nationwide
Model 24,Multi-Class,[3],6/21/2022,[3600],"[[0.74, 0.83, 0.89]]",Nationwide
Model 24,Multi-Class,[3],6/22/2022,[2120],"[[0.8, 0.89, 0.76]]",Nationwide
Model 24,Multi-Class,[3],6/23/2022,[1882],"[[0.93, 0.92, 0.87]]",Nationwide
Model 24,Multi-Class,[3],6/24/2022,[1393],"[[0.76, 0.86, 0.88]]",Nationwide
Model 25,Classification,"[1,2]",3/20/2023,"[4139, 2572]","[[0.85, 0.75, 0.88], [0.81, 0.79, 0.88]]",Nationwide
Model 25,Classification,"[1,2]",3/21/2023,"[4684, 2815]","[[0.91, 0.89, 0.87], [0.81, 0.95, 0.91]]",Nationwide
Model 25,Classification,"[1,2]",3/22/2023,"[4410, 3826]","[[0.95, 0.89, 0.76], [0.86, 0.85, 0.79]]",Nationwide
Model 25,Classification,"[1,2]",3/23/2023,"[4790, 1783]","[[0.84, 0.91, 0.77], [0.75, 0.75, 0.79]]",Nationwide
Model 25,Classification,"[1,2]",3/24/2023,"[4994, 4398]","[[0.94, 0.77, 0.86], [0.78, 0.78, 0.82]]",Nationwide
Model 25,Classification,"[1,2]",3/25/2023,"[1512, 2309]","[[0.71, 0.79, 0.71], [0.8, 0.92, 0.81]]",Nationwide
Model 25,Classification,"[1,2]",3/26/2023,"[1111, 3619]","[[0.88, 0.87, 0.76], [0.83, 0.75, 0.78]]",Nationwide
Model 25,Classification,"[1,2]",3/27/2023,"[2756, 1463]","[[0.76, 0.81, 0.9], [0.73, 0.71, 0.82]]",Nationwide
Model 25,Classification,"[1,2]",3/28/2023,"[3486, 3457]","[[0.74, 0.78, 0.9], [0.75, 0.74, 0.81]]",Nationwide
Model 25,Classification,"[1,2]",3/29/2023,"[1687, 1776]","[[0.81, 0.8, 0.78], [0.83, 0.78, 0.72]]",Nationwide
Model 25,Classification,"[1,2]",3/30/2023,"[4190, 3979]","[[0.74, 0.83, 0.79], [0.86, 0.78, 0.82]]",Nationwide
Model 25,Classification,"[1,2]",3/31/2023,"[2478, 3333]","[[0.8, 0.77, 0.84], [0.9, 0.75, 0.94]]",Nationwide
Model 25,Classification,"[1,2]",4/1/2023,"[2279, 1889]","[[0.88, 0.75, 0.94], [0.86, 0.78, 0.89]]",Nationwide
Model 25,Classification,"[1,2]",4/2/2023,"[3373, 3824]","[[0.91, 0.74, 0.95], [0.87, 0.81, 0.77]]",Nationwide
Model 25,Classification,"[1,2]",4/3/2023,"[1073, 4105]","[[0.89, 0.82, 0.87], [0.79, 0.89, 0.87]]",Nationwide
Model 25,Classification,"[1,2]",4/4/2023,"[3993, 1129]","[[0.82, 0.92, 0.87], [0.83, 0.81, 0.75]]",Nationwide
Model 25,Classification,"[1,2]",4/5/2023,"[2225, 4054]","[[0.94, 0.71, 0.93], [0.78, 0.71, 0.85]]",Nationwide
Model 25,Classification,"[1,2]",4/6/2023,"[4706, 2193]","[[0.93, 0.89, 0.93], [0.83, 0.72, 0.87]]",Nationwide
Model 25,Classification,"[1,2]",4/7/2023,"[3058, 3848]","[[0.79, 0.89, 0.86], [0.86, 0.72, 0.8]]",Nationwide
Model 25,Classification,"[1,2]",4/8/2023,"[4100, 3509]","[[0.84, 0.79, 0.76], [0.95, 0.81, 0.83]]",Nationwide
Model 25,Classification,"[1,2]",4/9/2023,"[3467, 2107]","[[0.93, 0.77, 0.86], [0.81, 0.9, 0.91]]",Nationwide
Model 25,Classification,"[1,2]",4/10/2023,"[3415, 3494]","[[0.75, 0.7, 0.82], [0.91, 0.95, 0.72]]",Nationwide
Model 25,Classification,"[1,2]",4/11/2023,"[1585, 1039]","[[0.9, 0.88, 0.81], [0.82, 0.74, 0.93]]",Nationwide
Model 25,Classification,"[1,2]",4/12/2023,"[3560, 4611]","[[0.79, 0.82, 0.89], [0.81, 0.7, 0.79]]",Nationwide
Model 25,Classification,"[1,2]",4/13/2023,"[4679, 2256]","[[0.91, 0.9, 0.92], [0.82, 0.75, 0.94]]",Nationwide
Model 25,Classification,"[1,2]",4/14/2023,"[2624, 4336]","[[0.71, 0.85, 0.78], [0.91, 0.81, 0.81]]",Nationwide
Model 25,Classification,"[1,2]",4/15/2023,"[2096, 2366]","[[0.92, 0.89, 0.94], [0.92, 0.77, 0.94]]",Nationwide
Model 25,Classification,"[1,2]",4/16/2023,"[4976, 3755]","[[0.84, 0.72, 0.93], [0.91, 0.72, 0.8]]",Nationwide
Model 25,Classification,"[1,2]",4/17/2023,"[1467, 1027]","[[0.9, 0.94, 0.79], [0.75, 0.73, 0.88]]",Nationwide
Model 25,Classification,"[1,2]",4/18/2023,"[1501, 4047]","[[0.88, 0.71, 0.84], [0.91, 0.94, 0.84]]",Nationwide
Model 25,Classification,"[1,2]",4/19/2023,"[3597, 1197]","[[0.94, 0.78, 0.87], [0.93, 0.76, 0.94]]",Nationwide
Model 25,Classification,"[1,2]",4/20/2023,"[2716, 4241]","[[0.78, 0.88, 0.88], [0.83, 0.85, 0.94]]",Nationwide
Model 25,Classification,"[1,2]",4/21/2023,"[2763, 2572]","[[0.95, 0.82, 0.81], [0.83, 0.86, 0.81]]",Nationwide
Model 25,Classification,"[1,2]",4/22/2023,"[2388, 3643]","[[0.88, 0.71, 0.85], [0.91, 0.78, 0.72]]",Nationwide
Model 25,Classification,"[1,2]",4/23/2023,"[2464, 2362]","[[0.92, 0.77, 0.89], [0.79, 0.91, 0.87]]",Nationwide
Model 25,Classification,"[1,2]",4/24/2023,"[2360, 3733]","[[0.81, 0.79, 0.89], [0.9, 0.91, 0.84]]",Nationwide
Model 25,Classification,"[1,2]",4/25/2023,"[1566, 1373]","[[0.7, 0.87, 0.93], [0.91, 0.78, 0.82]]",Nationwide
Model 25,Classification,"[1,2]",4/26/2023,"[2915, 3007]","[[0.73, 0.94, 0.78], [0.76, 0.7, 0.92]]",Nationwide
Model 25,Classification,"[1,2]",4/27/2023,"[3325, 3801]","[[0.88, 0.75, 0.95], [0.81, 0.71, 0.86]]",Nationwide
Model 25,Classification,"[1,2]",4/28/2023,"[3553, 3452]","[[0.87, 0.78, 0.82], [0.81, 0.89, 0.83]]",Nationwide
Model 25,Classification,"[1,2]",4/29/2023,"[4933, 3756]","[[0.92, 0.88, 0.95], [0.9, 0.85, 0.93]]",Nationwide
Model 25,Classification,"[1,2]",4/30/2023,"[4304, 2025]","[[0.93, 0.85, 0.8], [0.88, 0.82, 0.83]]",Nationwide
Model 25,Classification,"[1,2]",5/1/2023,"[4340, 4669]","[[0.74, 0.83, 0.75], [0.73, 0.75, 0.95]]",Nationwide
Model 25,Classification,"[1,2]",5/2/2023,"[2040, 1000]","[[0.74, 0.77, 0.77], [0.79, 0.8, 0.84]]",Nationwide
Model 25,Classification,"[1,2]",5/3/2023,"[2492, 4681]","[[0.9, 0.73, 0.91], [0.92, 0.95, 0.86]]",Nationwide
Model 25,Classification,"[1,2]",5/4/2023,"[4355, 4546]","[[0.91, 0.79, 0.84], [0.77, 0.82, 0.89]]",Nationwide
Model 25,Classification,"[1,2]",5/5/2023,"[1068, 4199]","[[0.74, 0.91, 0.95], [0.88, 0.95, 0.83]]",Nationwide
Model 25,Classification,"[1,2]",5/6/2023,"[2505, 4300]","[[0.86, 0.89, 0.74], [0.88, 0.92, 0.86]]",Nationwide
Model 25,Classification,"[1,2]",5/7/2023,"[1434, 1219]","[[0.89, 0.78, 0.86], [0.78, 0.87, 0.79]]",Nationwide
Model 25,Classification,"[1,2]",5/8/2023,"[2449, 1029]","[[0.7, 0.84, 0.7], [0.76, 0.72, 0.9]]",Nationwide
Model 25,Classification,"[1,2]",5/9/2023,"[2903, 4403]","[[0.88, 0.9, 0.73], [0.79, 0.8, 0.76]]",Nationwide
Model 25,Classification,"[1,2]",5/10/2023,"[4797, 3491]","[[0.92, 0.78, 0.85], [0.85, 0.93, 0.76]]",Nationwide
Model 25,Classification,"[1,2]",5/11/2023,"[2265, 3588]","[[0.82, 0.88, 0.82], [0.94, 0.9, 0.92]]",Nationwide
Model 25,Classification,"[1,2]",5/12/2023,"[2532, 1113]","[[0.94, 0.93, 0.79], [0.78, 0.79, 0.92]]",Nationwide
Model 25,Classification,"[1,2]",5/13/2023,"[2999, 2127]","[[0.8, 0.74, 0.88], [0.7, 0.73, 0.73]]",Nationwide
Model 25,Classification,"[1,2]",5/14/2023,"[4152, 4626]","[[0.94, 0.84, 0.91], [0.73, 0.88, 0.72]]",Nationwide
Model 25,Classification,"[1,2]",5/15/2023,"[1459, 3951]","[[0.86, 0.87, 0.73], [0.73, 0.73, 0.81]]",Nationwide
Model 25,Classification,"[1,2]",5/16/2023,"[2748, 4210]","[[0.82, 0.72, 0.92], [0.74, 0.82, 0.81]]",Nationwide
Model 25,Classification,"[1,2]",5/17/2023,"[4921, 2315]","[[0.81, 0.8, 0.86], [0.75, 0.74, 0.83]]",Nationwide
Model 25,Classification,"[1,2]",5/18/2023,"[2089, 2026]","[[0.74, 0.78, 0.78], [0.7, 0.81, 0.73]]",Nationwide
Model 25,Classification,"[1,2]",5/19/2023,"[2497, 2837]","[[0.88, 0.76, 0.94], [0.7, 0.78, 0.86]]",Nationwide
Model 25,Classification,"[1,2]",5/20/2023,"[1388, 1323]","[[0.89, 0.74, 0.71], [0.78, 0.79, 0.88]]",Nationwide
Model 25,Classification,"[1,2]",5/21/2023,"[3982, 4046]","[[0.78, 0.72, 0.83], [0.81, 0.79, 0.71]]",Nationwide
Model 25,Classification,"[1,2]",5/22/2023,"[2298, 2443]","[[0.91, 0.75, 0.82], [0.8, 0.72, 0.78]]",Nationwide
Model 25,Classification,"[1,2]",5/23/2023,"[1704, 4799]","[[0.73, 0.78, 0.87], [0.93, 0.77, 0.88]]",Nationwide
Model 25,Classification,"[1,2]",5/24/2023,"[4569, 4602]","[[0.76, 0.77, 0.94], [0.93, 0.74, 0.93]]",Nationwide
Model 26,Classification,"[1,2,3]",3/27/2022,"[2360, 3598, 1155]","[[0.87, 0.87, 0.72], [0.78, 0.77, 0.75], [0.73, 0.7, 0.88]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",3/28/2022,"[2052, 4180, 3854]","[[0.88, 0.79, 0.93], [0.77, 0.73, 0.95], [0.83, 0.74, 0.77]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",3/29/2022,"[3762, 3805, 2708]","[[0.72, 0.95, 0.81], [0.71, 0.76, 0.91], [0.85, 0.92, 0.82]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",3/30/2022,"[3373, 3733, 3924]","[[0.92, 0.86, 0.92], [0.77, 0.76, 0.89], [0.83, 0.95, 0.81]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",3/31/2022,"[2205, 3830, 4918]","[[0.8, 0.72, 0.8], [0.91, 0.77, 0.88], [0.89, 0.79, 0.77]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/1/2022,"[2472, 3503, 2398]","[[0.81, 0.8, 0.83], [0.9, 0.78, 0.73], [0.76, 0.77, 0.84]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/2/2022,"[3306, 1408, 1575]","[[0.79, 0.86, 0.83], [0.84, 0.78, 0.89], [0.71, 0.91, 0.83]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/3/2022,"[2428, 3290, 3929]","[[0.73, 0.8, 0.86], [0.84, 0.76, 0.8], [0.74, 0.75, 0.79]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/4/2022,"[1052, 4997, 4939]","[[0.84, 0.88, 0.76], [0.84, 0.92, 0.75], [0.74, 0.95, 0.92]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/5/2022,"[2841, 3900, 3279]","[[0.94, 0.85, 0.7], [0.86, 0.75, 0.8], [0.86, 0.9, 0.85]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/6/2022,"[2528, 3536, 3822]","[[0.83, 0.89, 0.81], [0.92, 0.93, 0.79], [0.8, 0.92, 0.91]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/7/2022,"[4801, 1725, 1621]","[[0.9, 0.82, 0.91], [0.83, 0.92, 0.83], [0.76, 0.81, 0.85]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/8/2022,"[1827, 3063, 4079]","[[0.88, 0.79, 0.71], [0.85, 0.77, 0.76], [0.9, 0.89, 0.93]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/9/2022,"[4224, 1216, 2743]","[[0.89, 0.91, 0.92], [0.74, 0.95, 0.86], [0.88, 0.74, 0.88]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/10/2022,"[3170, 4216, 4338]","[[0.91, 0.91, 0.8], [0.75, 0.89, 0.94], [0.91, 0.78, 0.77]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/11/2022,"[4501, 1651, 3072]","[[0.92, 0.91, 0.78], [0.84, 0.72, 0.91], [0.81, 0.74, 0.78]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/12/2022,"[2515, 4162, 2929]","[[0.81, 0.94, 0.77], [0.76, 0.84, 0.77], [0.92, 0.81, 0.92]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/13/2022,"[1878, 1689, 3979]","[[0.9, 0.83, 0.73], [0.74, 0.93, 0.71], [0.92, 0.88, 0.78]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/14/2022,"[4007, 4157, 4537]","[[0.77, 0.73, 0.88], [0.95, 0.89, 0.77], [0.87, 0.82, 0.83]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/15/2022,"[2691, 1840, 3583]","[[0.88, 0.82, 0.71], [0.95, 0.86, 0.86], [0.89, 0.79, 0.95]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/16/2022,"[4926, 4881, 3945]","[[0.8, 0.81, 0.75], [0.77, 0.85, 0.87], [0.92, 0.9, 0.93]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/17/2022,"[1551, 3709, 1581]","[[0.81, 0.93, 0.82], [0.95, 0.85, 0.94], [0.91, 0.74, 0.87]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/18/2022,"[4123, 2789, 4800]","[[0.71, 0.92, 0.84], [0.77, 0.72, 0.82], [0.9, 0.88, 0.76]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/19/2022,"[2938, 3519, 2588]","[[0.73, 0.78, 0.8], [0.82, 0.76, 0.9], [0.93, 0.83, 0.92]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/20/2022,"[1881, 3991, 3908]","[[0.72, 0.76, 0.83], [0.74, 0.75, 0.87], [0.88, 0.87, 0.82]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/21/2022,"[2598, 1987, 2619]","[[0.94, 0.82, 0.78], [0.77, 0.72, 0.89], [0.92, 0.78, 0.9]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/22/2022,"[2601, 4652, 3615]","[[0.78, 0.85, 0.74], [0.72, 0.87, 0.88], [0.74, 0.83, 0.72]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/23/2022,"[3856, 3512, 4657]","[[0.75, 0.72, 0.81], [0.73, 0.76, 0.84], [0.9, 0.83, 0.94]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/24/2022,"[4151, 1815, 4205]","[[0.76, 0.71, 0.84], [0.91, 0.74, 0.77], [0.93, 0.88, 0.92]]",Liberty Mutual
Model 26,Classification,"[1,2,3]",4/25/2022,"[1457, 1092, 3234]","[[0.92, 0.91, 0.93], [0.81, 0.7, 0.83], [0.77, 0.83, 0.72]]",Liberty Mutual
Model 27,Regression,[2],4/8/2022,[3501],[0.22],Nationwide
Model 27,Regression,[2],4/9/2022,[4391],[3.09],Nationwide
Model 27,Regression,[2],4/10/2022,[1707],[4.97],Nationwide
Model 27,Regression,[2],4/11/2022,[2073],[1.79],Nationwide
Model 27,Regression,[2],4/12/2022,[1509],[0.51],Nationwide
Model 27,Regression,[2],4/13/2022,[4702],[3.69],Nationwide
Model 27,Regression,[2],4/14/2022,[4073],[2.14],Nationwide
Model 27,Regression,[2],4/15/2022,[2298],[1.82],Nationwide
Model 27,Regression,[2],4/16/2022,[3282],[3.65],Nationwide
Model 27,Regression,[2],4/17/2022,[2865],[4.36],Nationwide
Model 27,Regression,[2],4/18/2022,[4746],[2.0],Nationwide
Model 27,Regression,[2],4/19/2022,[4905],[0.61],Nationwide
Model 27,Regression,[2],4/20/2022,[2795],[0.76],Nationwide
Model 27,Regression,[2],4/21/2022,[2687],[3.99],Nationwide
Model 27,Regression,[2],4/22/2022,[3970],[0.8],Nationwide
Model 27,Regression,[2],4/23/2022,[4648],[2.65],Nationwide
Model 27,Regression,[2],4/24/2022,[2989],[0.85],Nationwide
Model 27,Regression,[2],4/25/2022,[1779],[1.54],Nationwide
Model 27,Regression,[2],4/26/2022,[4381],[4.42],Nationwide
Model 27,Regression,[2],4/27/2022,[2954],[4.81],Nationwide
Model 27,Regression,[2],4/28/2022,[4353],[0.44],Nationwide
Model 27,Regression,[2],4/29/2022,[1357],[1.69],Nationwide
Model 27,Regression,[2],4/30/2022,[4185],[1.03],Nationwide
Model 27,Regression,[2],5/1/2022,[3625],[4.85],Nationwide
Model 27,Regression,[2],5/2/2022,[2589],[4.08],Nationwide
Model 27,Regression,[2],5/3/2022,[4323],[1.33],Nationwide
Model 27,Regression,[2],5/4/2022,[3551],[1.05],Nationwide
Model 27,Regression,[2],5/5/2022,[3687],[2.3],Nationwide
Model 27,Regression,[2],5/6/2022,[3239],[2.03],Nationwide
Model 27,Regression,[2],5/7/2022,[1335],[3.1],Nationwide
Model 27,Regression,[2],5/8/2022,[4453],[1.97],Nationwide
Model 27,Regression,[2],5/9/2022,[1168],[2.82],Nationwide
Model 27,Regression,[2],5/10/2022,[1769],[3.02],Nationwide
Model 27,Regression,[2],5/11/2022,[3391],[1.07],Nationwide
